Below is the mean and standard deviation of the mean 
for a range of data types listed, such data was 
obtained by using BOLSIG- and inputed data file.

Mobility *N (1/m/V/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         2.024             1.738229e+24         5.910357e+21         1.869019e+23        10.752%
         2.683             1.804280e+24         5.978133e+21         1.890452e+23        10.478%
         3.556             1.850745e+24         6.012174e+21         1.901216e+23        10.273%
         4.715             1.881155e+24         6.018075e+21         1.903082e+23        10.117%
         6.251             1.898200e+24         6.000167e+21         1.897419e+23        9.996%
         8.286             1.904597e+24         5.965586e+21         1.886484e+23        9.905%
         10.99             1.902860e+24         5.919583e+21         1.871936e+23        9.837%
         14.56             1.894875e+24         5.861649e+21         1.853616e+23        9.782%
         19.31             1.881300e+24         5.789551e+21         1.830817e+23        9.732%
         25.60             1.862242e+24         5.696849e+21         1.801502e+23        9.674%
         33.93             1.838885e+24         5.629065e+21         1.780067e+23        9.680%
         44.98             1.842038e+24         6.081020e+21         1.922987e+23        10.439%
         59.64             2.039086e+24         8.755036e+21         2.768585e+23        13.578%
         79.06             2.695167e+24         1.354859e+22         4.284440e+23        15.897%
         104.8             3.608453e+24         1.636431e+22         5.174848e+23        14.341%
         138.9             4.365782e+24         1.744280e+22         5.515897e+23        12.634%
         184.2             4.940524e+24         1.854892e+22         5.865684e+23        11.873%
         244.2             5.456175e+24         2.014116e+22         6.369195e+23        11.673%
         323.7             6.014237e+24         2.231557e+22         7.056803e+23        11.733%
         429.2             6.684136e+24         2.511824e+22         7.943086e+23        11.883%
         569.0             7.515266e+24         2.860005e+22         9.044129e+23        12.034%
         754.3             8.557569e+24         3.297326e+22         1.042706e+24        12.185%
         1000.             9.906933e+24         3.893207e+22         1.231140e+24        12.427%

Total collision freq. /N (m3/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1000E-02             9.659996e-16         3.085667e-18         9.757736e-17        10.101%
         0.1326E-02             9.888217e-16         3.077867e-18         9.733071e-17        9.843%
         0.1758E-02             1.018606e-15         3.087102e-18         9.762274e-17        9.584%
         0.2330E-02             1.055610e-15         3.123043e-18         9.875929e-17        9.356%
         0.3089E-02             1.099486e-15         3.191937e-18         1.009379e-16        9.180%
         0.4095E-02             1.149327e-15         3.298984e-18         1.043230e-16        9.077%
         0.5429E-02             1.204358e-15         3.440117e-18         1.087860e-16        9.033%
         0.7197E-02             1.264457e-15         3.606537e-18         1.140487e-16        9.020%
         0.9541E-02             1.331106e-15         3.786092e-18         1.197267e-16        8.995%
         0.1265E-01             1.407892e-15         3.975054e-18         1.257022e-16        8.928%
         0.1677E-01             1.500728e-15         4.177334e-18         1.320989e-16        8.802%
         0.2223E-01             1.618934e-15         4.407034e-18         1.393627e-16        8.608%
         0.2947E-01             1.777447e-15         4.685166e-18         1.481579e-16        8.335%
         0.3907E-01             2.000566e-15         5.056815e-18         1.599105e-16        7.993%
         0.5179E-01             2.327946e-15         5.615014e-18         1.775623e-16        7.627%
         0.6866E-01             2.821452e-15         6.532756e-18         2.065839e-16        7.322%
         0.9103E-01             3.571619e-15         8.073131e-18         2.552948e-16        7.148%
         0.1207             4.700877e-15         1.052580e-17         3.328550e-16        7.081%
         0.1600             6.359933e-15         1.409607e-17         4.457570e-16        7.009%
         0.2121             8.683252e-15         1.871482e-17         5.918145e-16        6.816%
         0.2812             1.163779e-14         2.412866e-17         7.630152e-16        6.556%
         0.3728             1.501117e-14         3.065788e-17         9.694872e-16        6.458%
         0.4942             1.874938e-14         3.835433e-17         1.212870e-15        6.469%
         0.6551             2.300924e-14         4.742010e-17         1.499555e-15        6.517%
         0.8685             2.785431e-14         5.903641e-17         1.866895e-15        6.702%
         1.151             3.302714e-14         7.407056e-17         2.342317e-15        7.092%
         1.526             3.804202e-14         9.149004e-17         2.893169e-15        7.605%
         2.024             4.253390e-14         1.087300e-16         3.438344e-15        8.084%
         2.683             4.645758e-14         1.238971e-16         3.917970e-15        8.433%
         3.556             4.996820e-14         1.368189e-16         4.326594e-15        8.659%
         4.715             5.322057e-14         1.482412e-16         4.687797e-15        8.808%
         6.251             5.627308e-14         1.588666e-16         5.023802e-15        8.928%
         8.286             5.911296e-14         1.688825e-16         5.340533e-15        9.034%
         10.99             6.173081e-14         1.781091e-16         5.632304e-15        9.124%
         14.56             6.417766e-14         1.862786e-16         5.890648e-15        9.179%
         19.31             6.659917e-14         1.934732e-16         6.118161e-15        9.187%
         25.60             6.920499e-14         1.996296e-16         6.312841e-15        9.122%
         33.93             7.238119e-14         2.049443e-16         6.480907e-15        8.954%
         44.98             7.682614e-14         2.086972e-16         6.599586e-15        8.590%
         59.64             8.413460e-14         2.092721e-16         6.617764e-15        7.866%
         79.06             9.690771e-14         2.142428e-16         6.774951e-15        6.991%
         104.8             1.156659e-13         2.488245e-16         7.868523e-15        6.803%
         138.9             1.358067e-13         3.190321e-16         1.008868e-14        7.429%
         184.2             1.526287e-13         3.931749e-16         1.243328e-14        8.146%
         244.2             1.657845e-13         4.496030e-16         1.421770e-14        8.576%
         323.7             1.771128e-13         4.904480e-16         1.550933e-14        8.757%
         429.2             1.882446e-13         5.242240e-16         1.657742e-14        8.806%
         569.0             2.001605e-13         5.573759e-16         1.762577e-14        8.806%
         754.3             2.133845e-13         5.935980e-16         1.877122e-14        8.797%
         1000.             2.281457e-13         6.347621e-16         2.007294e-14        8.798%

Momentum frequency /N (m3/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1000E-02             1.151000e-15         3.549011e-18         1.122296e-16        9.751%
         0.1326E-02             1.198640e-15         3.570248e-18         1.129011e-16        9.419%
         0.1758E-02             1.257681e-15         3.625614e-18         1.146520e-16        9.116%
         0.2330E-02             1.327911e-15         3.727817e-18         1.178839e-16        8.877%
         0.3089E-02             1.408249e-15         3.886876e-18         1.229138e-16        8.728%
         0.4095E-02             1.496867e-15         4.103916e-18         1.297772e-16        8.670%
         0.5429E-02             1.591914e-15         4.372639e-18         1.382750e-16        8.686%
         0.7197E-02             1.692784e-15         4.673977e-18         1.478041e-16        8.731%
         0.9541E-02             1.800920e-15         4.991792e-18         1.578543e-16        8.765%
         0.1265E-01             1.920578e-15         5.316489e-18         1.681221e-16        8.754%
         0.1677E-01             2.058671e-15         5.654123e-18         1.787991e-16        8.685%
         0.2223E-01             2.225382e-15         6.019490e-18         1.903530e-16        8.554%
         0.2947E-01             2.436275e-15         6.438754e-18         2.036113e-16        8.357%
         0.3907E-01             2.716507e-15         6.949376e-18         2.197586e-16        8.090%
         0.5179E-01             3.107495e-15         7.630390e-18         2.412941e-16        7.765%
         0.6866E-01             3.676548e-15         8.644045e-18         2.733487e-16        7.435%
         0.9103E-01             4.528708e-15         1.028359e-17         3.251958e-16        7.181%
         0.1207             5.819072e-15         1.298397e-17         4.105892e-16        7.056%
         0.1600             7.758030e-15         1.721025e-17         5.442359e-16        7.015%
         0.2121             1.057778e-14         2.314883e-17         7.320302e-16        6.920%
         0.2812             1.436067e-14         3.039275e-17         9.611031e-16        6.693%
         0.3728             1.887265e-14         3.899745e-17         1.233208e-15        6.534%
         0.4942             2.387712e-14         4.943665e-17         1.563324e-15        6.547%
         0.6551             2.942504e-14         6.163202e-17         1.948976e-15        6.624%
         0.8685             3.565338e-14         7.616035e-17         2.408402e-15        6.755%
         1.151             4.250183e-14         9.400114e-17         2.972577e-15        6.994%
         1.526             4.965662e-14         1.150911e-16         3.639500e-15        7.329%
         2.024             5.677555e-14         1.378316e-16         4.358617e-15        7.677%
         2.683             6.374504e-14         1.602974e-16         5.069050e-15        7.952%
         3.556             7.071525e-14         1.817043e-16         5.745994e-15        8.126%
         4.715             7.792700e-14         2.026763e-16         6.409188e-15        8.225%
         6.251             8.549866e-14         2.244710e-16         7.098395e-15        8.302%
         8.286             9.332927e-14         2.478105e-16         7.836456e-15        8.397%
         10.99             1.011699e-13         2.725400e-16         8.618471e-15        8.519%
         14.56             1.087575e-13         2.978580e-16         9.419098e-15        8.661%
         19.31             1.159335e-13         3.221909e-16         1.018857e-14        8.788%
         25.60             1.227846e-13         3.445763e-16         1.089646e-14        8.874%
         33.93             1.296484e-13         3.644268e-16         1.152419e-14        8.889%
         44.98             1.370851e-13         3.829346e-16         1.210945e-14        8.834%
         59.64             1.456459e-13         4.025445e-16         1.272957e-14        8.740%
         79.06             1.554594e-13         4.273594e-16         1.351429e-14        8.693%
         104.8             1.657597e-13         4.594946e-16         1.453049e-14        8.766%
         138.9             1.756961e-13         4.922345e-16         1.556582e-14        8.860%
         184.2             1.855234e-13         5.207767e-16         1.646840e-14        8.877%
         244.2             1.960719e-13         5.474584e-16         1.731216e-14        8.829%
         323.7             2.079516e-13         5.755462e-16         1.820037e-14        8.752%
         429.2             2.215853e-13         6.062745e-16         1.917208e-14        8.652%
         569.0             2.374326e-13         6.398025e-16         2.023233e-14        8.521%
         754.3             2.560190e-13         6.764356e-16         2.139077e-14        8.355%
         1000.             2.777445e-13         7.167788e-16         2.266654e-14        8.161%

Total ionization freq. /N (m3/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1000E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.1326E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.1758E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.2330E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.3089E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.4095E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.5429E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.7197E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.9541E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.1265E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.1677E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.2223E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.2947E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.3907E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.5179E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.6866E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.9103E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
