Below is the mean and standard deviation of the mean 
for a range of data types listed, such data was 
obtained by using BOLSIG- and inputed data file.

Mobility *N (1/m/V/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.3907E-01             9.367109e+23         3.432114e+20         1.085330e+22        1.159%
         0.5179E-01             9.822441e+23         3.734119e+20         1.180832e+22        1.202%
         0.6866E-01             1.042923e+24         4.117701e+20         1.302131e+22        1.249%
         0.9103E-01             1.121097e+24         4.578922e+20         1.447982e+22        1.292%
         0.1207             1.218994e+24         5.125843e+20         1.620934e+22        1.330%
         0.1600             1.338263e+24         5.763089e+20         1.822449e+22        1.362%
         0.2121             1.479836e+24         6.462079e+20         2.043489e+22        1.381%
         0.2812             1.643846e+24         7.233627e+20         2.287474e+22        1.392%
         0.3728             1.829728e+24         8.068823e+20         2.551586e+22        1.395%
         0.4942             2.036166e+24         8.949276e+20         2.830009e+22        1.390%
         0.6551             2.261033e+24         9.872825e+20         3.122061e+22        1.381%
         0.8685             2.504030e+24         1.088670e+21         3.442677e+22        1.375%
         1.151             2.776708e+24         1.223008e+21         3.867491e+22        1.393%
         1.526             3.110482e+24         1.422152e+21         4.497239e+22        1.446%
         2.024             3.546610e+24         1.700758e+21         5.378270e+22        1.516%
         2.683             4.126202e+24         2.075379e+21         6.562923e+22        1.591%
         3.556             4.911809e+24         2.626222e+21         8.304843e+22        1.691%
         4.715             6.117984e+24         3.770243e+21         1.192255e+23        1.949%
         6.251             8.335453e+24         5.779147e+21         1.827527e+23        2.192%
         8.286             1.102858e+25         6.143576e+21         1.942769e+23        1.762%
         10.99             1.292916e+25         5.787970e+21         1.830317e+23        1.416%
         14.56             1.423225e+25         5.835674e+21         1.845402e+23        1.297%
         19.31             1.536317e+25         6.210058e+21         1.963793e+23        1.278%
         25.60             1.659333e+25         6.857772e+21         2.168618e+23        1.307%
         33.93             1.813761e+25         7.885123e+21         2.493495e+23        1.375%
         44.98             2.024256e+25         9.623464e+21         3.043206e+23        1.503%
         59.64             2.327095e+25         1.304582e+22         4.125450e+23        1.773%
         79.06             2.779405e+25         2.036991e+22         6.441533e+23        2.318%
         104.8             3.476737e+25         3.662640e+22         1.158228e+24        3.331%
         138.9             4.573592e+25         7.154303e+22         2.262389e+24        4.947%
         184.2             6.307822e+25         1.430639e+23         4.524079e+24        7.172%
         244.2             8.989424e+25         2.763821e+23         8.739970e+24        9.723%
         323.7             1.293968e+26         4.986143e+23         1.576757e+25        12.185%
         429.2             1.853564e+26         8.481173e+23         2.681982e+25        14.469%
         569.0             2.664525e+26         1.430660e+24         4.524143e+25        16.979%
         754.3             3.957290e+26         2.522788e+24         7.977757e+25        20.160%
         1000.             6.295278e+26         4.791759e+24         1.515287e+26        24.070%

Total collision freq. /N (m3/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1000E-02             5.947774e-15         1.897669e-18         6.000957e-17        1.009%
         0.1326E-02             5.948966e-15         1.897269e-18         5.999690e-17        1.009%
         0.1758E-02             5.951078e-15         1.896410e-18         5.996976e-17        1.008%
         0.2330E-02             5.954764e-15         1.895544e-18         5.994235e-17        1.007%
         0.3089E-02             5.961180e-15         1.893271e-18         5.987048e-17        1.004%
         0.4095E-02             5.972274e-15         1.890233e-18         5.977441e-17        1.001%
         0.5429E-02             5.991286e-15         1.884420e-18         5.959058e-17        0.995%
         0.7197E-02             6.023411e-15         1.876054e-18         5.932605e-17        0.985%
         0.9541E-02             6.076524e-15         1.863744e-18         5.893677e-17        0.970%
         0.1265E-01             6.161981e-15         1.846664e-18         5.839663e-17        0.948%
         0.1677E-01             6.294953e-15         1.825246e-18         5.771936e-17        0.917%
         0.2223E-01             6.494272e-15         1.803094e-18         5.701885e-17        0.878%
         0.2947E-01             6.780055e-15         1.783945e-18         5.641330e-17        0.832%
         0.3907E-01             7.174253e-15         1.773909e-18         5.609592e-17        0.782%
         0.5179E-01             7.697932e-15         1.782669e-18         5.637295e-17        0.732%
         0.6866E-01             8.371584e-15         1.817818e-18         5.748444e-17        0.687%
         0.9103E-01             9.214647e-15         1.883567e-18         5.956363e-17        0.646%
         0.1207             1.024860e-14         1.988767e-18         6.289034e-17        0.614%
         0.1600             1.149625e-14         2.128090e-18         6.729611e-17        0.585%
         0.2121             1.298484e-14         2.316407e-18         7.325121e-17        0.564%
         0.2812             1.474727e-14         2.544390e-18         8.046068e-17        0.546%
         0.3728             1.682506e-14         2.824637e-18         8.932287e-17        0.531%
         0.4942             1.926966e-14         3.154463e-18         9.975287e-17        0.518%
         0.6551             2.214473e-14         3.540630e-18         1.119646e-16        0.506%
         0.8685             2.552913e-14         3.996037e-18         1.263658e-16        0.495%
         1.151             2.951308e-14         4.534079e-18         1.433802e-16        0.486%
         1.526             3.417919e-14         5.218187e-18         1.650136e-16        0.483%
         2.024             3.957768e-14         6.102841e-18         1.929888e-16        0.488%
         2.683             4.571947e-14         7.221812e-18         2.283738e-16        0.500%
         3.556             5.259892e-14         8.598556e-18         2.719102e-16        0.517%
         4.715             6.015050e-14         1.037793e-17         3.281790e-16        0.546%
         6.251             6.771019e-14         1.394424e-17         4.409554e-16        0.651%
         8.286             7.270121e-14         1.976813e-17         6.251230e-16        0.860%
         10.99             7.455300e-14         2.281827e-17         7.215772e-16        0.968%
         14.56             7.521813e-14         2.366596e-17         7.483832e-16        0.995%
         19.31             7.563437e-14         2.392199e-17         7.564797e-16        1.000%
         25.60             7.600927e-14         2.405787e-17         7.607768e-16        1.001%
         33.93             7.635087e-14         2.418056e-17         7.646563e-16        1.002%
         44.98             7.661417e-14         2.428984e-17         7.681120e-16        1.003%
         59.64             7.672440e-14         2.438381e-17         7.710838e-16        1.005%
         79.06             7.656928e-14         2.447600e-17         7.739991e-16        1.011%
         104.8             7.599557e-14         2.465207e-17         7.795668e-16        1.026%
         138.9             7.481935e-14         2.525283e-17         7.985646e-16        1.067%
         184.2             7.286410e-14         2.716222e-17         8.589448e-16        1.179%
         244.2             7.004248e-14         3.168149e-17         1.001857e-15        1.430%
         323.7             6.646571e-14         3.931227e-17         1.243163e-15        1.870%
         429.2             6.247318e-14         4.884308e-17         1.544554e-15        2.472%
         569.0             5.849258e-14         5.868790e-17         1.855874e-15        3.173%
         754.3             5.485893e-14         6.822577e-17         2.157488e-15        3.933%
         1000.             5.169949e-14         7.782890e-17         2.461166e-15        4.761%

Momentum frequency /N (m3/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1000E-02             6.991062e-15         2.229729e-18         7.051023e-17        1.009%
         0.1326E-02             6.993401e-15         2.228997e-18         7.048707e-17        1.008%
         0.1758E-02             6.997523e-15         2.227410e-18         7.043689e-17        1.007%
         0.2330E-02             7.004691e-15         2.225356e-18         7.037192e-17        1.005%
         0.3089E-02             7.017090e-15         2.221568e-18         7.025215e-17        1.001%
         0.4095E-02             7.038330e-15         2.215995e-18         7.007593e-17        0.996%
         0.5429E-02             7.074091e-15         2.206370e-18         6.977153e-17        0.986%
         0.7197E-02             7.133024e-15         2.193214e-18         6.935553e-17        0.972%
         0.9541E-02             7.227328e-15         2.174552e-18         6.876536e-17        0.951%
         0.1265E-01             7.373116e-15         2.152721e-18         6.807502e-17        0.923%
         0.1677E-01             7.590241e-15         2.128155e-18         6.729816e-17        0.887%
         0.2223E-01             7.900592e-15         2.107845e-18         6.665590e-17        0.844%
         0.2947E-01             8.329093e-15         2.098459e-18         6.635911e-17        0.797%
         0.3907E-01             8.898392e-15         2.107964e-18         6.665969e-17        0.749%
         0.5179E-01             9.630930e-15         2.144597e-18         6.781810e-17        0.704%
         0.6866E-01             1.054818e-14         2.218876e-18         7.016702e-17        0.665%
         0.9103E-01             1.167239e-14         2.331013e-18         7.371310e-17        0.632%
         0.1207             1.302887e-14         2.482899e-18         7.851616e-17        0.603%
         0.1600             1.465139e-14         2.681186e-18         8.478654e-17        0.579%
         0.2121             1.658282e-14         2.909934e-18         9.202019e-17        0.555%
