Below is the mean and standard deviation of the mean 
for a range of data types listed, such data was 
obtained by using BOLSIG- and inputed data file.

Mobility *N (1/m/V/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.8685             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         1.151             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         1.526             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         2.024             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         2.683             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         3.556             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         4.715             8.062789e-27         2.512828e-29         7.946261e-27        98.555%
         6.251             1.715702e-23         3.419849e-26         1.081451e-23        63.033%
         8.286             1.423014e-21         2.220857e-24         7.022965e-22        49.353%
         10.99             2.368857e-20         2.966322e-23         9.380333e-21        39.599%
         14.56             1.780423e-19         1.809382e-22         5.721767e-20        32.137%
         19.31             8.652357e-19         7.183718e-22         2.271691e-19        26.255%
         25.60             3.202835e-18         2.181275e-21         6.897797e-19        21.537%
         33.93             9.861953e-18         5.530435e-21         1.748877e-18        17.734%
         44.98             2.663342e-17         1.234156e-20         3.902743e-18        14.654%
         59.64             6.538360e-17         2.516102e-20         7.956612e-18        12.169%
         79.06             1.494034e-16         4.805727e-20         1.519704e-17        10.172%
         104.8             3.228146e-16         8.758594e-20         2.769710e-17        8.580%
         138.9             6.645637e-16         1.535489e-19         4.855644e-17        7.307%
         184.2             1.302675e-15         2.575402e-19         8.144137e-17        6.252%
         244.2             2.408814e-15         4.032848e-19         1.275299e-16        5.294%
         323.7             4.144212e-15         5.733118e-19         1.812971e-16        4.375%
         429.2             6.571671e-15         7.331426e-19         2.318401e-16        3.528%
         569.0             9.612838e-15         8.747988e-19         2.766357e-16        2.878%
         754.3             1.306370e-14         1.054928e-18         3.335975e-16        2.554%
         1000.             1.663404e-14         1.376174e-18         4.351845e-16        2.616%

Townsend ioniz. coef. alpha/N (m2)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1000E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.1326E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.1758E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.2330E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.3089E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.4095E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.5429E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.7197E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.9541E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.1265E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.1677E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.2223E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.2947E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.3907E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.5179E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.6866E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.9103E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.1207             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.1600             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
